ProviderName,TIN,AOC,Clinic_Name,Clinic_Address,Clinic_Type,Notes
GILA INTERNAL MEDICINE,721520982,ADULT PCP,GILA INTERNAL MEDICINE &,448 E SOUTHERN AVE PHOENIX AZ 85040,Other,
GILA INTERNAL MEDICINE,721520982,ADULT PCP,GILA INTERNAL MEDICINE &,4616 N 51ST AVE STE 102 PHOENIX AZ 85031,Other,
GLENDALE PEDIATRICS LLC,753221906,ADULT PCP,GLENDALE PEDIATRICS LLC,6745 N 51ST DR GLENDALE AZ 85301,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,1035 N ELLSWORTH RD STE 108 MESA AZ 85207,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,10410 N 35TH AVE STE 112-114 PHOENIX AZ 85051,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,1121 S HIGLEY RD STE 106 MESA AZ 85206-2855,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,11435 W BUCKEYE RD STE A106 AVONDALE AZ 85323,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,1703 W BETHANY HOME RD STE E027 PHOENIX AZ 85015-2503,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,17063 W GREENWAY RD # 102 SURPRISE AZ 85388,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,1915 E BASELINE RD STE 104 GILBERT AZ 85233,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,19550 W INDIAN SCHOOL RD STE 102 BUCKEYE AZ 85396,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,1982 W MAIN ST STE 101 MESA AZ 85201,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,21471 N LAKE PLEASANT PKWY STE 1710 PEORIA AZ 85382,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,22355 E QUEEN CREEK RD STE 103-104 QUEEN CREEK AZ 85142-0604,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,2632 S 83RD AVE STE 113 PHOENIX AZ 85043,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,2640 W BASELINE RD STE 111 PHOENIX AZ 85041,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,2733 N POWER RD STE 101A MESA AZ 85215-1683,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,287 E HUNT HWY STE 105 SAN TAN VALLEY AZ 85143,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,3100 N ALMA SCHOOL RD CHANDLER AZ 85224,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,3436 W BELL RD PHOENIX AZ 85053-2926,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,401 E BELL RD STE 18 PHOENIX AZ 85022-2395,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,428 S GILBERT RD STE 101 GILBERT AZ 85296,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,44360 W EDISON RD STE 135 MARICOPA AZ 85138-6400,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,4707 E BELL RD # C-3 PHOENIX AZ 85032,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,5045 W BASELINE RD # A110 LAVEEN AZ 85339,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,5102 W OLIVE AVE STE 101 GLENDALE AZ 85302,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,6135 N 35TH AVE STE 117 PHOENIX AZ 85017-1951,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,6661 W BELL ROAD STE 106B GLENDALE AZ 85308-3697,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,7435 W CACTUS RD # A-125 PEORIA AZ 85381,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,7448 W GLENDALE AVE # C-140 GLENDALE AZ 85303,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,8141 W CAMELBACK RD STE B-101 PHOENIX AZ 85033,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,831 S COTTON LN STE F7-8 GOODYEAR AZ 85338,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,9221 E BASELINE RD STE A106 MESA AZ 85209-8314,Other,
GOOD HEALTH MEDICAL,203134104,ADULT PCP,MY DR NOW,9920 S RURAL RD A108 TEMPE AZ 85284-4100,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,13026 W RANCHO SANTA FE BLVD STE C100 AVONDALE AZ 85392,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,15255 N 40TH ST STE 105 PHOENIX AZ 85032,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,2353 E BASELINE RD GILBERT AZ 85234,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,3200 N DOBSON RD STE B-1 CHANDLER AZ 85224,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,3530 S VAL VISTA DR STE C101 GILBERT AZ 85297,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,5112 W OLIVE AVE # C113 GLENDALE AZ 85302,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,7910 W THOMAS RD STE 112 PHOENIX AZ 85033,Other,
HEALTHYU FAMILY MEDICINE LLC,861498246,ADULT PCP,HEALTHYU FAMILY MEDICINE,840 E MCKELLIPS RD STE 107 MESA AZ 85203,Other,
HERITAGE TECHNOLOGIES LLC,860805100,ADULT PCP,DESERT GROVE FAMILY MED,10238 E HAMPTON AVE STE 506 MESA AZ 85209,Other,
HERITAGE TECHNOLOGIES LLC,860805100,ADULT PCP,DESERT GROVE FAMILY MED,10238 E HAMPTON AVE STE 508 MESA AZ 85209,Other,
HERITAGE TECHNOLOGIES LLC,860805100,ADULT PCP,DESERT GROVE FAMILY MED,1492 S MILL AVE STE 101 TEMPE AZ 85281,Other,
HERITAGE TECHNOLOGIES LLC,860805100,ADULT PCP,DESERT GROVE FAMILY MED,1855 N STAPLEY DR MESA AZ 85203,Other,
HERITAGE TECHNOLOGIES LLC,860805100,ADULT PCP,DESERT GROVE FAMILY MED,20928 E HERITAGE LOOP RD STE 106 QUEEN CREEK AZ 85142,Other,
HERITAGE TECHNOLOGIES LLC,860805100,ADULT PCP,DESERT GROVE FAMILY MED,5656 S POWER RD STE 126 GILBERT AZ 85295,Other,
HOLON HEALTH GREAT LAKES PC,923862746,ADULT PCP,HOLON HEALTH GREAT LAKES,3341 N 19TH AVE PHOENIX AZ 85015,Other,
HOLON HEALTH GREAT LAKES PC,923862746,ADULT PCP,HOLON HEALTH GREAT LAKES,5650 S 12TH AVE STE 132 TUCSON AZ 85706,Other,
HOLON HEALTH GREAT LAKES PC,923862746,ADULT PCP,"HOLON HEALTH GREAT LAKES, PC","160 6TH AVE, PAGE, AZ 86040",Other,
HOLON HEALTH GREAT LAKES PC,923862746,ADULT PCP,"HOLON HEALTH GREAT LAKES, PC","2314 N 4TH ST STE C FLAGSTAFF, AZ 86004",Other,
HOLON HEALTH GREAT LAKES PC,923862746,ADULT PCP,"HOLON HEALTH GREAT LAKES, PC","4003 N FLOWING WELLS RD STE 101, TUCSON, AZ 85705",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,DEER VALLEY MEDICINE,6220 W BELL RD STE 100 GLENDALE AZ 85308,Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - ARCADIA,"3311 N 44TH STREET, PHOENIX 85018",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - BETHANY HOME,"1515 E BETHANY HOME RD #120A, PHOENIX, AZ 85014",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - CAREFREE HIGHWAY,"34525 N SCOTTSDALE ROAD, SCOTTSDALE, AZ 85266",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - CAVE CREEK,"20330 N CAVE CREEK RD SUITE 160, PHOENIX, AZ 85024",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - DEER VALLEY,"19636 N 27TH AVE SUITE 308, PHOENIX, AZ 85027",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - DEL LAGO,10230 W HAPPY VALLEY PARKWAY SUITE 200 PEORIA AZ 85383,Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - DESERT MOUNTAIN,10550 DESERT HILLS DRIVE SCOTTSDALE AZ 85262,Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - DYNAMITE,"4712 E DYNAMITE BLVD, CAVE CREEK, AZ 85331",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - FOUNTAIN HILLS,"16716 E PALISADES BLVD, STE 101A, FOUNTAIN HILLS, AZ 85268",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - GAVILAN PEAK,"3648 W ANTHEM WAY BLDG A-100, ANTHEM, AZ 85086",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - GILBERT,3645 S ROME STREET STE 204 GILBERT AZ 85297,Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - HEUSER,"7301 E SECOND STREET #210, SCOTTSDALE, AZ 85251",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - JOMAX,"26224 N TATUM BLVD. SUITE 5, PHOENIX, AZ 85050",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - LEGACY,"18801 N THOMPSON PEAK PKWY SUITE 110, SCOTTSDALE, AZ 85255",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - MARINA HEIGHTS,"450 E RIO SALADO PKWY SUITE 110, TEMPE, AZ 85281",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - MCDOWELL MOUNTAIN RANCH,"10419 E MCDOWELL MOUNTAIN RANCH ROAD SUITE A100, SCOTTSDALE, AZ 85255",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - MCKELLIPS,"1124 E MCKELLIPS ROAD SUITE 110, MESA, AZ 85203",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - MESCAL,"10900 N SCOTTSDALE RD SUITE 603, SCOTTSDALE, AZ 85254",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - NORTH PEORIA,"7831 W DEER VALLEY ROAD, PEORIA, AZ 85382",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - NORTH PHOENIX,"9250 N 3RD STREET, SUITE 4010, PHOENIX, AZ 85020",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - OSBORN,3501 N SCOTTSDALE RD SUITE 280 SCOTTSDALE AZ 85251,Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - PARADISE VALLEY,"5316 E SHEA BLVD SUITE 100, SCOTTSDALE, AZ 85254",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - SHEA,"10200 N 92ND STREET, SUITE 200, SCOTTSDALE, AZ 85258",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - SOUTH TEMPE,"1761 E WARNER RD SUITE 2, TEMPE, AZ 85284",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - TRAMONTO,"34975 N NORTH VALLEY PARKWAY SUITE 100, PHOENIX, AZ 85086",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - WEST TEMPE,"1626 S PRIEST DRIVE SUITE 104, TEMPE, AZ 85281",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - WEST THUNDERBIRD ROAD,"9191 W THUNDERBIRD ROAD SUITE D-105, PEORIA, AZ 85381",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HHMG - WEST UNION HILLS,"6320 W UNION HILLS DRIVE BLDG B SUITE 2300, GLENDALE, AZ 85308",Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HONORHEALTH MEDICAL GROUP,18404 N TATUM BLVD STE 101 PHOENIX AZ 85032,Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HONORHEALTH MEDICAL GROUP,20745 N SCOTTSDALE RD STE 100 SCOTTSDALE AZ 85255,Other,
HONORHEALTH MEDICAL GROUP LLC,860828589,ADULT PCP,HONORHEALTH MEDICAL GROUP,6320 W UNION HILLS DR STE 2300B GLENDALE AZ 85308,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,10815 W MCDOWELL RD STE 304 AVONDALE AZ 85392,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,111 W CEDAR LN STE A PAYSON AZ 85541,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,13555 W MCDOWELL RD STE 101 GOODYEAR AZ 85395,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,13555 W MCDOWELL RD STE 103 GOODYEAR AZ 85395,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,14672 N DEL WEBB BLVD SUN CITY AZ 85351,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,2971 WILLOW CREEK RD BLDG 3 PRESCOTT AZ 86301,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,3815 E BELL RD STE 2300 PHOENIX AZ 85032,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,3815 E BELL RD STE 4100 PHOENIX AZ 85032,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,5601 W EUGIE AVE STE 203 GLENDALE AZ 85304,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,6040 N 43RD AVE STE 1 GLENDALE AZ 85301,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,7165 E UNIVERSITY DR STE 101 MESA AZ 85207,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVIC,7330 N 99TH AVE STE 325 GLENDALE AZ 85307,Other,
INTEGRATED MEDICAL SERVICES INC,860783428,ADULT PCP,INTEGRATED MEDICAL SERVICE,4540 E BASELINE RD BLDG 6 STE 114 MESA AZ 85026,Other,
KIDS AND FAMILY KARE LLC,844039680,ADULT PCP,KIDS AND FAMILY KARE,521 W THOMAS RD FL 2 PHOENIX AZ 85013,Other,
KIDS AND FAMILY KARE LLC,844039680,ADULT PCP,KIDS AND FAMILY KARE,9515 W CAMELBACK RD 142 PHOENIX AZ 85037,Other,
KINGMAN HOSPITAL INC,942916102,ADULT PCP,KRMC PHYSICIAN SERVICES,2202 N STOCKTON HILL RD STE 101 KINGMAN AZ 86401,Other,
KINGMAN HOSPITAL INC,942916102,ADULT PCP,KRMC PHYSICIAN SERVICES,2226 HUALAPAI MOUNTAIN RD SUITE 101 KINGMAN AZ 86401,Other,
KINGMAN HOSPITAL INC,942916102,ADULT PCP,KRMC PHYSICIAN SERVICES,4995 US HIGHWAY 68 STE 1 GOLDEN VALLEY AZ 86413,Other,
KYRENE INTERNAL MEDICINE PLLC,452585407,ADULT PCP,KYRENE INTERNAL MEDICINE,4545 E CHANDLER BLVD STE 201 PHOENIX AZ 85048,Other,
MERCY GRACE PRIVATE PRACTICE,272153464,ADULT PCP,MERCY GRACE PRIVATE PRACT,1720 E BOSTON ST STE 101 GILBERT AZ 85295,Other,
MERCY GRACE PRIVATE PRACTICE,272153464,ADULT PCP,MERCY GRACE PRIVATE PRACTICE,1720 E. BOSTON STREET,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,10240 W INDIAN SCHOOL RD STE 100 PHOENIX AZ 85037,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,1142 E SOUTHERN AVE STE 101 MESA AZ 85204,Other,
MOMDOC LLC,860919727,ADULT PCP,MOMDOC LLC,1634 S PRIEST DR STE 101 TEMPE AZ 85281,Other,
