user_id,Topic_Project_A,Reason of classification_A,The detail reason_A,Topic_Project_B,Reason of classification_B,The detail reason_B
111716202,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and identifying inequities within a patient population.,"The given document's purpose is to identify existing health inequities within the patient population by analyzing data related to health outcomes, access to healthcare services, and social determinants of health. This aligns with Class 4's criteria for discussing strategies for recognizing unmet health-related social needs.",Postpartum Depression Screening,Relevant criteria for screening tools and protocols for postpartum depression.,"The document mentions 'standardizing screening for postpartum depression & anxiety', 'screening protocols within Denova virtual and in-office appointments', 'validated screening tools into routine postpartum care visits', which match the criteria for Class 6: Postpartum Depression Screening."
111716202,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and identifying inequities within a patient population.,"The given document's purpose is to identify existing health inequities within the patient population by analyzing data related to health outcomes, access to healthcare services, and social determinants of health. This aligns with Class 4's criteria for discussing strategies for recognizing unmet health-related social needs.",Identify HRSNs,Mentions risk factors associated with HRSNs and strategies for recognizing unmet health-related social needs.,"The document discusses strategies for recognizing unmet health-related social needs, mentions risk factors associated with HRSNs, and provides a plan to implement targeted strategies to address the underlying social determinants of health contributing to these disparities. This aligns with the criteria of Class 4: Identify HRSNs."
111716315,Others,No matching criteria found in the given classes.,"None of the provided class criteria match with the content of the document, which discusses project charter and health equity analysis. The document does not mention any specific social needs or services related to the other classes.",,No matching class criteria found.,"The document discusses a project to improve lab follow-up, but it does not match the given class criteria. It does not mention anything related to CLAS Standards, HRSN Screening, Closed-Loop Referral System, Identifying HRSNs, Engaging Caregivers, or Postpartum Depression Screening."
111716923,Others,No matching class found,"The document discusses a project aimed at improving patient experience by identifying and addressing healthcare disparities, but it does not match any of the provided classes' criteria.",Closed-Loop Referral System,The document describes referral processes between healthcare providers and social services.,The keywords 'Implement a closed-loop referral system for health-related social needs (HRSNs)' and 'effective referral process' directly point to the criteria of Class 3.
111721959,CLAS Standards,"Project aims to improve health outcomes and increase health equity, which aligns with the CLAS Standards criteria.","The document mentions paneling patients to PCP services to improve health outcomes, which is a key aspect of Building and supporting a culturally and linguistically diverse practice team.",None matched class,No matching criteria found in any given class,"Keywords such as 'health equity', 'access to care', and 'chronic disease self-management program' do not match the specific criteria of any given class, hence classified under Others"
111721959,CLAS Standards,"Project aims to improve health outcomes and increase health equity, which aligns with the CLAS Standards criteria.","The document mentions paneling patients to PCP services to improve health outcomes, which is a key aspect of Building and supporting a culturally and linguistically diverse practice team.",Closed-Loop Referral System,Mentions processes and policies for improving health equity and addressing disparities in patient care.,"Although the given document does not directly discuss referral processes between healthcare providers, it mentions strategies for recognizing unmet health-related social needs (e.g., metabolic testing for children on antipsychotic medications) which aligns with the criteria of Class 3. The emphasis on addressing health disparities and improving health equity also supports this classification."
111721959,Others,No matching criteria found in given classes.,"Although the document discusses health disparities and screenings, it does not mention any specific domains or tools for identifying HRSNs, nor does it discuss postpartum depression screening. Additionally, there is no bidirectional communication between providers and organizations, and no tracking mechanisms for referrals.",None matched class,No matching criteria found in any given class,"Keywords such as 'health equity', 'access to care', and 'chronic disease self-management program' do not match the specific criteria of any given class, hence classified under Others"
111721959,Others,No matching criteria found in given classes.,"Although the document discusses health disparities and screenings, it does not mention any specific domains or tools for identifying HRSNs, nor does it discuss postpartum depression screening. Additionally, there is no bidirectional communication between providers and organizations, and no tracking mechanisms for referrals.",Closed-Loop Referral System,Mentions processes and policies for improving health equity and addressing disparities in patient care.,"Although the given document does not directly discuss referral processes between healthcare providers, it mentions strategies for recognizing unmet health-related social needs (e.g., metabolic testing for children on antipsychotic medications) which aligns with the criteria of Class 3. The emphasis on addressing health disparities and improving health equity also supports this classification."
111722404,Closed-Loop Referral System,Mentions bidirectional communication and tracking follow-up mechanisms,"The document discusses a process for screening health-related social needs and mentions starting a closed-loop process of referrals, both inter-agency and with community partners.",Closed-Loop Referral System,The document describes referral processes between healthcare providers and social services.,"The document specifically mentions the creation, sending, and receiving of referrals for member care, aligning with Class 3's criteria, which includes describing referral processes and bidirectional communication."
111722404,Closed-Loop Referral System,Mentions bidirectional communication and tracking follow-up mechanisms,"The document discusses a process for screening health-related social needs and mentions starting a closed-loop process of referrals, both inter-agency and with community partners.",Closed-Loop Referral System,Describes referral processes and bidirectional communication between healthcare providers and social services.,"The document discusses the project charter for implementing a closed loop referral system, which includes creating, sending, and receiving referrals for member care. This matches the criteria for Class 3, which is about Closed-Loop Referral System."
111722404,Closed-Loop Referral System,Mentions bidirectional communication and tracking follow-up mechanisms,"The document discusses a process for screening health-related social needs and mentions starting a closed-loop process of referrals, both inter-agency and with community partners.",Closed-Loop Referral System,The document describes referral processes between healthcare providers and social services.,"The text mentions 'Creating, Sending, and Receiving Referrals for Member Care' which indicates the process of referring patients to outside agencies based on their Social Determinants of Health (SDOH) needs."
111722404,Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The document mentions 'closed loop process of referrals, both inter-agency as well as our community partners' which indicates a referral system between healthcare providers and social services.",Closed-Loop Referral System,The document describes referral processes between healthcare providers and social services.,"The document specifically mentions the creation, sending, and receiving of referrals for member care, aligning with Class 3's criteria, which includes describing referral processes and bidirectional communication."
111722404,Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The document mentions 'closed loop process of referrals, both inter-agency as well as our community partners' which indicates a referral system between healthcare providers and social services.",Closed-Loop Referral System,Describes referral processes and bidirectional communication between healthcare providers and social services.,"The document discusses the project charter for implementing a closed loop referral system, which includes creating, sending, and receiving referrals for member care. This matches the criteria for Class 3, which is about Closed-Loop Referral System."
111722404,Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The document mentions 'closed loop process of referrals, both inter-agency as well as our community partners' which indicates a referral system between healthcare providers and social services.",Closed-Loop Referral System,The document describes referral processes between healthcare providers and social services.,"The text mentions 'Creating, Sending, and Receiving Referrals for Member Care' which indicates the process of referring patients to outside agencies based on their Social Determinants of Health (SDOH) needs."
111722404,Closed-Loop Referral System,Mentions closed-loop process of referrals and community partners to assist in meeting social needs.,"The document mentions 'closed loop process of referrals, both inter-agency as well as our community partners' which aligns with the criteria for Class 3: Closed-Loop Referral System.",Closed-Loop Referral System,The document describes referral processes between healthcare providers and social services.,"The document specifically mentions the creation, sending, and receiving of referrals for member care, aligning with Class 3's criteria, which includes describing referral processes and bidirectional communication."
111722404,Closed-Loop Referral System,Mentions closed-loop process of referrals and community partners to assist in meeting social needs.,"The document mentions 'closed loop process of referrals, both inter-agency as well as our community partners' which aligns with the criteria for Class 3: Closed-Loop Referral System.",Closed-Loop Referral System,Describes referral processes and bidirectional communication between healthcare providers and social services.,"The document discusses the project charter for implementing a closed loop referral system, which includes creating, sending, and receiving referrals for member care. This matches the criteria for Class 3, which is about Closed-Loop Referral System."
111722404,Closed-Loop Referral System,Mentions closed-loop process of referrals and community partners to assist in meeting social needs.,"The document mentions 'closed loop process of referrals, both inter-agency as well as our community partners' which aligns with the criteria for Class 3: Closed-Loop Referral System.",Closed-Loop Referral System,The document describes referral processes between healthcare providers and social services.,"The text mentions 'Creating, Sending, and Receiving Referrals for Member Care' which indicates the process of referring patients to outside agencies based on their Social Determinants of Health (SDOH) needs."
111722922,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains","The document discusses implementing a standard patient-provider communication protocol for identifying and discussing non-medical needs of patients and families, which aligns with the criteria of HRSN Screening Class 2.",HRSN Screening,"The document mentions implementing a health-related social needs (HRSN) screening tool to identify and discuss non-medical patient needs, which aligns with the criteria for Class 2.","The text describes a standard patient-provider communication protocol that includes identifying and discussing non-medical patient needs, which matches the domain of HRSN screening. Additionally, it mentions implementing an evidence-based, standardized HRSN screening tool and documenting screening results in the Electronic Health Record (EHR) and claims."
111725130,Postpartum Depression Screening,Specifically mentions postpartum depression screening and Edinburgh screen.,"The document outlines a protocol for implementing postpartum depression screening using the Edinburgh screen and PHQ-9 tools, which is directly related to Class 6's criteria.",,No matching class found,"Document contains information about project charter, training, and reimbursement accuracy, but does not match any of the provided classes."
111725130,Postpartum Depression Screening,Specifically mentions postpartum depression screening and Edinburgh screen.,"The document outlines a protocol for implementing postpartum depression screening using the Edinburgh screen and PHQ-9 tools, which is directly related to Class 6's criteria.",Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The given document discusses referral processes for behavioral health screens, which indicates a closed-loop referral system. The mention of 'referrals will be started' also supports this classification."
111725130,,No relevant class found,"The given document is about implementing a new referral process and creating better communication between patients, which does not match the criteria of any provided classes.",,No matching class found,"Document contains information about project charter, training, and reimbursement accuracy, but does not match any of the provided classes."
111725130,,No relevant class found,"The given document is about implementing a new referral process and creating better communication between patients, which does not match the criteria of any provided classes.",Closed-Loop Referral System,Mentions bidirectional communication between providers and organizations.,"The given document discusses referral processes for behavioral health screens, which indicates a closed-loop referral system. The mention of 'referrals will be started' also supports this classification."
111725428,HRSN Screening,The document discusses strategies for recognizing unmet health-related social needs.,"The text mentions 'health inequities' and 'Health-related social needs (HRSNs)' which aligns with the criteria of Class 2, HRSN Screening. Although it does not explicitly mention 'screening members served by the practice annually', the context suggests that identifying health inequities is a precursor to screening, making this class a suitable fit.",HRSN Screening,Mentions standardized screening processes for patient needs and utilizes HRSN screenings to identify and address housing instability.,"The document describes a process to screen and refer for housing-related needs, which involves utilizing HRSN screenings. It also mentions that members who screen positive for housing issues will receive referrals for housing support services through the UniteUs platform, connecting them to a network of community resources."
111725428,HRSN Screening,The document discusses strategies for recognizing unmet health-related social needs.,"The text mentions 'health inequities' and 'Health-related social needs (HRSNs)' which aligns with the criteria of Class 2, HRSN Screening. Although it does not explicitly mention 'screening members served by the practice annually', the context suggests that identifying health inequities is a precursor to screening, making this class a suitable fit.",Closed-Loop Referral System,Referral processes and tracking mechanisms are mentioned in the document.,"The document describes a process to screen and refer members for housing-related needs, which includes making referrals through the CommunityCares system and utilizing HRSN screenings to identify and address housing instability. This matches the criteria of Class 3, Closed-Loop Referral System."
111725428,HRSN Screening,The document discusses strategies for recognizing unmet health-related social needs.,"The text mentions 'health inequities' and 'Health-related social needs (HRSNs)' which aligns with the criteria of Class 2, HRSN Screening. Although it does not explicitly mention 'screening members served by the practice annually', the context suggests that identifying health inequities is a precursor to screening, making this class a suitable fit.",Closed-Loop Referral System,Referral processes and tracking mechanisms are mentioned in the document.,"The document describes a process to screen and refer members for housing-related needs, which includes referring them to community resources via the UniteUs platform. This indicates a closed-loop referral system where referrals are tracked and followed up on."
111725428,Others,No relevant class found,"The given document does not match any of the provided classes. It appears to be a project charter for applying dental varnish to children, which is unrelated to the provided classes.",HRSN Screening,Mentions standardized screening processes for patient needs and utilizes HRSN screenings to identify and address housing instability.,"The document describes a process to screen and refer for housing-related needs, which involves utilizing HRSN screenings. It also mentions that members who screen positive for housing issues will receive referrals for housing support services through the UniteUs platform, connecting them to a network of community resources."
111725428,Others,No relevant class found,"The given document does not match any of the provided classes. It appears to be a project charter for applying dental varnish to children, which is unrelated to the provided classes.",Closed-Loop Referral System,Referral processes and tracking mechanisms are mentioned in the document.,"The document describes a process to screen and refer members for housing-related needs, which includes making referrals through the CommunityCares system and utilizing HRSN screenings to identify and address housing instability. This matches the criteria of Class 3, Closed-Loop Referral System."
111725428,Others,No relevant class found,"The given document does not match any of the provided classes. It appears to be a project charter for applying dental varnish to children, which is unrelated to the provided classes.",Closed-Loop Referral System,Referral processes and tracking mechanisms are mentioned in the document.,"The document describes a process to screen and refer members for housing-related needs, which includes referring them to community resources via the UniteUs platform. This indicates a closed-loop referral system where referrals are tracked and followed up on."
111725428,,No relevant class found,"The given document is about implementing a tobacco cessation program, which does not match any of the provided classes. It mentions education, support, and policy initiatives to reduce smoking rates, but none of the criteria from the given classes are met.",HRSN Screening,Mentions standardized screening processes for patient needs and utilizes HRSN screenings to identify and address housing instability.,"The document describes a process to screen and refer for housing-related needs, which involves utilizing HRSN screenings. It also mentions that members who screen positive for housing issues will receive referrals for housing support services through the UniteUs platform, connecting them to a network of community resources."
111725428,,No relevant class found,"The given document is about implementing a tobacco cessation program, which does not match any of the provided classes. It mentions education, support, and policy initiatives to reduce smoking rates, but none of the criteria from the given classes are met.",Closed-Loop Referral System,Referral processes and tracking mechanisms are mentioned in the document.,"The document describes a process to screen and refer members for housing-related needs, which includes making referrals through the CommunityCares system and utilizing HRSN screenings to identify and address housing instability. This matches the criteria of Class 3, Closed-Loop Referral System."
111725428,,No relevant class found,"The given document is about implementing a tobacco cessation program, which does not match any of the provided classes. It mentions education, support, and policy initiatives to reduce smoking rates, but none of the criteria from the given classes are met.",Closed-Loop Referral System,Referral processes and tracking mechanisms are mentioned in the document.,"The document describes a process to screen and refer members for housing-related needs, which includes referring them to community resources via the UniteUs platform. This indicates a closed-loop referral system where referrals are tracked and followed up on."
111758376,Identify HRSNs,"The document discusses strategies for recognizing unmet health-related social needs, which aligns with the criteria of Class 4.","The document mentions the purpose of identifying high-risk members to better manage their care and increase connection between medical and behavioral providers, indicating a focus on identifying unmet health-related social needs.",Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs.,"The project aims to identify, support, and refer patients who may have positive scores on the high-risk assessment, indicating a focus on identifying and addressing health-related social needs."
111760693,HRSN Screening,Screening for health-related social needs (or social determinants of health) and closed loop referral process are mentioned in the document.,"The given document discusses screening tools, documentation of results, and closed loop referral process for health-related social needs, which aligns with Class 2's criteria.",Closed-Loop Referral System,"The document discusses the efficiency and implementation of SDOH referral process, which is related to referral processes between healthcare providers and social services.","The text mentions 'improve efficiency and implementation of SDOH referral process' and 'establish an improved closed loop process', indicating a focus on the referral process between healthcare providers and social services."
111768725,Identify HRSNs,"Based on the given document, it appears to be about identifying health-related social needs (HRSNs) through screenings and connecting clients to community resources.","The document mentions PRAPARE assessment for identifying client's health-related social needs, which aligns with the criteria of Class 4: Identify HRSNs.",,No matching class criteria found,"The given document discusses project charter, process updates and focus on submitting PRAPARE screenings and referrals, which does not directly relate to any provided class criteria."
111769766,,No matching class found,"The document discusses a project to improve depression screening rates and referral process, but it does not match the criteria for any of the given classes. It seems to be related to mental health services, but it does not specifically mention social determinants of health or postpartum depression.",Others,No relevant criteria found for the given document.,"The document discusses a project charter for depression screening in adults, but it does not match any of the provided classes. It does not mention anything about CLAS Standards, HRSN Screening, Closed-Loop Referral System, Identifying HRSNs, or Engaging Caregivers."
111769766,,No matching class found,"The document discusses a project to improve depression screening rates and referral process, but it does not match the criteria for any of the given classes. It seems to be related to mental health services, but it does not specifically mention social determinants of health or postpartum depression.",Postpartum Depression Screening,"The document discusses postpartum depression and anxiety screening, mentioning clinical guidelines and a standardized screening tool.","The project charter is focused on implementing a Postpartum Depression and Anxiety Screening tool within pediatric clinics, which aligns with the criteria for Class 6: 'Covers screening tools for postpartum depression', 'Discusses maternal mental health and risk factors', and 'Mentions clinical guidelines for postpartum depression screening'."
111769766,,No matching class found,"The document discusses a project to improve depression screening rates and referral process, but it does not match the criteria for any of the given classes. It seems to be related to mental health services, but it does not specifically mention social determinants of health or postpartum depression.",Closed-Loop Referral System,Discusses referral processes and tracking mechanisms,"The document discusses automating the referral and tracking process of justice involved individuals with contracted Peer Run Organizations (PROs), which aligns with the criteria for Class 3: Closed-Loop Referral System."
111769766,Postpartum Depression Screening,The given document covers screening tools for postpartum depression.,"The project charter mentions the implementation of Edinburgh Screening Tool, which is a tool used for PeriPartum Depression screening. This matches with the criteria of Class 6, which includes 'Covers screening tools for postpartum depression.'",Others,No relevant criteria found for the given document.,"The document discusses a project charter for depression screening in adults, but it does not match any of the provided classes. It does not mention anything about CLAS Standards, HRSN Screening, Closed-Loop Referral System, Identifying HRSNs, or Engaging Caregivers."
111769766,Postpartum Depression Screening,The given document covers screening tools for postpartum depression.,"The project charter mentions the implementation of Edinburgh Screening Tool, which is a tool used for PeriPartum Depression screening. This matches with the criteria of Class 6, which includes 'Covers screening tools for postpartum depression.'",Postpartum Depression Screening,"The document discusses postpartum depression and anxiety screening, mentioning clinical guidelines and a standardized screening tool.","The project charter is focused on implementing a Postpartum Depression and Anxiety Screening tool within pediatric clinics, which aligns with the criteria for Class 6: 'Covers screening tools for postpartum depression', 'Discusses maternal mental health and risk factors', and 'Mentions clinical guidelines for postpartum depression screening'."
111769766,Postpartum Depression Screening,The given document covers screening tools for postpartum depression.,"The project charter mentions the implementation of Edinburgh Screening Tool, which is a tool used for PeriPartum Depression screening. This matches with the criteria of Class 6, which includes 'Covers screening tools for postpartum depression.'",Closed-Loop Referral System,Discusses referral processes and tracking mechanisms,"The document discusses automating the referral and tracking process of justice involved individuals with contracted Peer Run Organizations (PROs), which aligns with the criteria for Class 3: Closed-Loop Referral System."
111769766,Closed-Loop Referral System,Reference to referral processes between healthcare providers and social services,"The document mentions automation of the current referral and tracking process with contracted Peer Run Organizations (PROs) within the Valleywise Health electronic health record (EHR), which aligns with the criteria for Class 3: Closed-Loop Referral System.",Others,No relevant criteria found for the given document.,"The document discusses a project charter for depression screening in adults, but it does not match any of the provided classes. It does not mention anything about CLAS Standards, HRSN Screening, Closed-Loop Referral System, Identifying HRSNs, or Engaging Caregivers."
111769766,Closed-Loop Referral System,Reference to referral processes between healthcare providers and social services,"The document mentions automation of the current referral and tracking process with contracted Peer Run Organizations (PROs) within the Valleywise Health electronic health record (EHR), which aligns with the criteria for Class 3: Closed-Loop Referral System.",Postpartum Depression Screening,"The document discusses postpartum depression and anxiety screening, mentioning clinical guidelines and a standardized screening tool.","The project charter is focused on implementing a Postpartum Depression and Anxiety Screening tool within pediatric clinics, which aligns with the criteria for Class 6: 'Covers screening tools for postpartum depression', 'Discusses maternal mental health and risk factors', and 'Mentions clinical guidelines for postpartum depression screening'."
111769766,Closed-Loop Referral System,Reference to referral processes between healthcare providers and social services,"The document mentions automation of the current referral and tracking process with contracted Peer Run Organizations (PROs) within the Valleywise Health electronic health record (EHR), which aligns with the criteria for Class 3: Closed-Loop Referral System.",Closed-Loop Referral System,Discusses referral processes and tracking mechanisms,"The document discusses automating the referral and tracking process of justice involved individuals with contracted Peer Run Organizations (PROs), which aligns with the criteria for Class 3: Closed-Loop Referral System."
111771482,Postpartum Depression Screening,Relevant criteria for postpartum depression screening,"The document mentions 'Screening for post-partem anxiety and depression (PPD)' which is a key criterion in Class 6, indicating that it belongs to this category.",Identify HRSNs,Discusses strategies for recognizing unmet health-related social needs.,"The document discusses screening measures and documentation of screening results for Health Related Social Need Screening (HRSN) at Well Checks, which is related to identifying families who may benefit from appropriate treatment."
111771794,HRSN Screening,"Mentions standardized screening processes for patient needs and Z codes, G codes",The document describes the Comprehensive Assessment Integration Initiative which aims to standardize and enhance our screening process by incorporating the HSRN screening tool (AHC HSRN) and the PRAPARE tool into our assessment form. This includes mentioning standardized screening processes for patient needs and using Z codes and referral G codes for accurate documentation and effective referrals.,Others,No relevant class found,"The document appears to be a project charter related to case management and care coordination for perinatal members, but it does not match any of the given classes. It discusses implementing an EHR flagging system, optimizing case management notes, and integrating updates into the Unite Us platform, which is not specifically mentioned in the given criteria."
111772328,Identify HRSNs,Discusses strategies for recognizing unmet health-related social needs and methods to support service participants in accessing necessary resources.,"The given document mentions 'Distribution of Social Determinants of Health screenings' and 'methods to support service participants in accessing necessary resources', which aligns with the criteria of identifying HRSNs. The document's purpose is also to establish standards for conducting screening of Health-Related Social Needs, further supporting its classification as Identify HRSNs.",Unknown Class,No relevant class criteria matched the given document.,"The document's content does not match any of the specified classes' criteria, as it discusses a project charter for improving communication between case management and providers, which is unrelated to the provided classes."
111802201,Postpartum Depression Screening,Screening tools for postpartum depression and discussion on maternal mental health are mentioned.,"The document discusses the screening of mothers for postpartum depression (PPD) at their children's well visits using the Edinburgh Postnatal Depression Screening (EPDS), which matches the criteria of Class 6.",Closed-Loop Referral System,Discusses referral processes between healthcare providers and social services.,"The document discusses warm hand-offs during behavioral health referrals for treatment of post-partum depression to co-located behavioral health services, which involves a referral process between healthcare providers."
111803342,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and mentions risk factors associated with HRSNs.,"It mentions that CHA currently utilizes a checklist of common social needs but would benefit from the use of an evidence-based screening, which aligns with the criteria of identifying HRSNs.",Others,No relevant class found,"The given document does not match any of the provided classes. It appears to be a project charter for recertifying translation and interpretation competency for multi-lingual staff, which is unrelated to the specified classes."
111803342,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and mentions risk factors associated with HRSNs.,"It mentions that CHA currently utilizes a checklist of common social needs but would benefit from the use of an evidence-based screening, which aligns with the criteria of identifying HRSNs.",Others,No relevant class found,"None of the provided classes match the content of the document, which appears to be a project charter for recertifying translation and interpretation competency in a healthcare setting."
111803342,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized screening tool.",The document mentions implementing PRAPARE screening into intake/enrollment appointments to identify social determinants of need and monitor progress. This aligns with the criteria for HRSN Screening in Class 2.,Others,No relevant class found,"The given document does not match any of the provided classes. It appears to be a project charter for recertifying translation and interpretation competency for multi-lingual staff, which is unrelated to the specified classes."
111803342,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized screening tool.",The document mentions implementing PRAPARE screening into intake/enrollment appointments to identify social determinants of need and monitor progress. This aligns with the criteria for HRSN Screening in Class 2.,Others,No relevant class found,"None of the provided classes match the content of the document, which appears to be a project charter for recertifying translation and interpretation competency in a healthcare setting."
111803626,,No relevant class found,The document is a project charter and does not explicitly mention any specific healthcare-related social needs or criteria from the provided classes.,Others,No relevant class found,"The document discusses project charter, appointment adherence, and nonadherence issues, which does not match the criteria of any provided classes."
